text,label
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
"Привет, как дела?",0
"Забей, ты всё равно лузер!",1
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
"Твой код ужасен, никогда не станешь программистом!",1
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Забей, ты всё равно лузер!",1
"Иди учись, ботаник!",1
"Никому ты не нужен, отстань!",1
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
"Твой код ужасен, никогда не станешь программистом!",1
"Не переживай, всё будет ок.",0
"Твой код ужасен, никогда не станешь программистом!",1
"Иди учись, ботаник!",1
"Не переживай, всё будет ок.",0
"Привет, как дела?",0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
"Привет, как дела?",0
Сегодня хорошая погода.,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Привет, как дела?",0
Ты такой бесполезный!,1
Спасибо за помощь!,0
Спасибо за помощь!,0
Ты такой бесполезный!,1
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
"Никому ты не нужен, отстань!",1
"Привет, как дела?",0
Ты такой бесполезный!,1
"Забей, ты всё равно лузер!",1
"Иди учись, ботаник!",1
Сегодня хорошая погода.,0
"Привет, как дела?",0
Спасибо за помощь!,0
"Никому ты не нужен, отстань!",1
Спасибо за помощь!,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Забей, ты всё равно лузер!",1
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
"Привет, как дела?",0
"Привет, как дела?",0
"Забей, ты всё равно лузер!",1
Ты такой бесполезный!,1
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Иди учись, ботаник!",1
"Твой код ужасен, никогда не станешь программистом!",1
Спасибо за помощь!,0
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Иди учись, ботаник!",1
"Не переживай, всё будет ок.",0
"Не переживай, всё будет ок.",0
Ты такой бесполезный!,1
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
"Привет, как дела?",0
Спасибо за помощь!,0
Ты такой бесполезный!,1
Спасибо за помощь!,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
"Привет, как дела?",0
Ты такой бесполезный!,1
Не забудь сделать домашку.,0
Ты такой бесполезный!,1
Спасибо за помощь!,0
Спасибо за помощь!,0
Сегодня хорошая погода.,0
"Твой код ужасен, никогда не станешь программистом!",1
"Никому ты не нужен, отстань!",1
"Забей, ты всё равно лузер!",1
"Привет, как дела?",0
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
"Привет, как дела?",0
"Привет, как дела?",0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Иди учись, ботаник!",1
"Забей, ты всё равно лузер!",1
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
Ты такой бесполезный!,1
Не забудь сделать домашку.,0
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
"Твой код ужасен, никогда не станешь программистом!",1
Сегодня хорошая погода.,0
"Никому ты не нужен, отстань!",1
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Привет, как дела?",0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Никому ты не нужен, отстань!",1
"Не переживай, всё будет ок.",0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
"Привет, как дела?",0
"Привет, как дела?",0
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Не переживай, всё будет ок.",0
"Привет, как дела?",0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
"Никому ты не нужен, отстань!",1
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
"Не переживай, всё будет ок.",0
"Забей, ты всё равно лузер!",1
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
Не забудь сделать домашку.,0
"Привет, как дела?",0
Ты такой бесполезный!,1
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
"Привет, как дела?",0
Ты такой бесполезный!,1
"Никому ты не нужен, отстань!",1
"Никому ты не нужен, отстань!",1
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
"Не переживай, всё будет ок.",0
"Твой код ужасен, никогда не станешь программистом!",1
Сегодня хорошая погода.,0
Спасибо за помощь!,0
"Привет, как дела?",0
Спасибо за помощь!,0
"Привет, как дела?",0
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Иди учись, ботаник!",1
"Забей, ты всё равно лузер!",1
"Не переживай, всё будет ок.",0
Ты такой бесполезный!,1
"Иди учись, ботаник!",1
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
Сегодня хорошая погода.,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
Спасибо за помощь!,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Забей, ты всё равно лузер!",1
"Привет, как дела?",0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
Не забудь сделать домашку.,0
Ты такой бесполезный!,1
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Твой код ужасен, никогда не станешь программистом!",1
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
"Твой код ужасен, никогда не станешь программистом!",1
"Не переживай, всё будет ок.",0
"Привет, как дела?",0
"Не переживай, всё будет ок.",0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Привет, как дела?",0
"Забей, ты всё равно лузер!",1
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Никому ты не нужен, отстань!",1
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
Ты такой бесполезный!,1
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
"Твой код ужасен, никогда не станешь программистом!",1
"Никому ты не нужен, отстань!",1
Спасибо за помощь!,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Привет, как дела?",0
"Забей, ты всё равно лузер!",1
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
Спасибо за помощь!,0
Ты такой бесполезный!,1
Спасибо за помощь!,0
"Привет, как дела?",0
"Твой код ужасен, никогда не станешь программистом!",1
Сегодня хорошая погода.,0
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
Ты такой бесполезный!,1
"Привет, как дела?",0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Привет, как дела?",0
"Никому ты не нужен, отстань!",1
"Никому ты не нужен, отстань!",1
"Привет, как дела?",0
"Привет, как дела?",0
Ты такой бесполезный!,1
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
"Иди учись, ботаник!",1
Спасибо за помощь!,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Ты такой бесполезный!,1
"Иди учись, ботаник!",1
"Привет, как дела?",0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
"Привет, как дела?",0
Ты такой бесполезный!,1
"Твой код ужасен, никогда не станешь программистом!",1
Спасибо за помощь!,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Твой код ужасен, никогда не станешь программистом!",1
"Иди учись, ботаник!",1
Ты такой бесполезный!,1
Сегодня хорошая погода.,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
Ты такой бесполезный!,1
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Никому ты не нужен, отстань!",1
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
"Привет, как дела?",0
"Привет, как дела?",0
Сегодня хорошая погода.,0
Спасибо за помощь!,0
Спасибо за помощь!,0
"Иди учись, ботаник!",1
"Привет, как дела?",0
"Привет, как дела?",0
Сегодня хорошая погода.,0
Ты такой бесполезный!,1
"Никому ты не нужен, отстань!",1
"Никому ты не нужен, отстань!",1
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Никому ты не нужен, отстань!",1
Спасибо за помощь!,0
"Привет, как дела?",0
Сегодня хорошая погода.,0
Спасибо за помощь!,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Ты такой бесполезный!,1
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
"Не переживай, всё будет ок.",0
"Никому ты не нужен, отстань!",1
Ты такой бесполезный!,1
"Не переживай, всё будет ок.",0
Ты такой бесполезный!,1
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Твой код ужасен, никогда не станешь программистом!",1
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
"Забей, ты всё равно лузер!",1
Не забудь сделать домашку.,0
"Привет, как дела?",0
"Не переживай, всё будет ок.",0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
"Не переживай, всё будет ок.",0
"Иди учись, ботаник!",1
"Не переживай, всё будет ок.",0
"Иди учись, ботаник!",1
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
"Твой код ужасен, никогда не станешь программистом!",1
Сегодня хорошая погода.,0
Не забудь сделать домашку.,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
Ты такой бесполезный!,1
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Привет, как дела?",0
"Привет, как дела?",0
"Твой код ужасен, никогда не станешь программистом!",1
Ты такой бесполезный!,1
Сегодня хорошая погода.,0
Спасибо за помощь!,0
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
"Привет, как дела?",0
Не забудь сделать домашку.,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
"Твой код ужасен, никогда не станешь программистом!",1
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Привет, как дела?",0
"Иди учись, ботаник!",1
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Привет, как дела?",0
Сегодня хорошая погода.,0
"Никому ты не нужен, отстань!",1
Не забудь сделать домашку.,0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Ты такой бесполезный!,1
"Твой код ужасен, никогда не станешь программистом!",1
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Твой код ужасен, никогда не станешь программистом!",1
"Никому ты не нужен, отстань!",1
"Не переживай, всё будет ок.",0
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
Сегодня хорошая погода.,0
"Привет, как дела?",0
"Забей, ты всё равно лузер!",1
"Твой код ужасен, никогда не станешь программистом!",1
"Не переживай, всё будет ок.",0
Спасибо за помощь!,0
"Привет, как дела?",0
"Не переживай, всё будет ок.",0
"Не переживай, всё будет ок.",0
"Забей, ты всё равно лузер!",1
"Никому ты не нужен, отстань!",1
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
"Никому ты не нужен, отстань!",1
Не забудь сделать домашку.,0
Не забудь сделать домашку.,0
Спасибо за помощь!,0
Сегодня хорошая погода.,0
"Не переживай, всё будет ок.",0
"Иди учись, ботаник!",1
Не забудь сделать домашку.,0
"Привет, как дела?",0
"Привет, как дела?",0
"Забей, ты всё равно лузер!",1
"Привет, как дела?",0
Сегодня хорошая погода.,0
Сегодня хорошая погода.,0
Ты такой бесполезный!,1
Сегодня хорошая погода.,0
Ты такой бесполезный!,1
Спасибо за помощь!,0
"Привет, как дела?",0
Спасибо за помощь!,0
Спасибо за помощь!,0
"Привет, как дела?",0
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Забей, ты всё равно лузер!",1
Не забудь сделать домашку.,0
"Никому ты не нужен, отстань!",1
"Никому ты не нужен, отстань!",1
"Забей, ты всё равно лузер!",1
Спасибо за помощь!,0
"Не переживай, всё будет ок.",0
Не забудь сделать домашку.,0
"Привет, как дела?",0
"Никому ты не нужен, отстань!",1
Не забудь сделать домашку.,0
"Привет, как дела?",0
